t1      ,ch1     ,t2      ,ch2     
   4.964,    0.010,    4.964,   -0.005
   4.981,    0.007,    4.981,   -0.006
   4.997,    0.007,    4.997,   -0.006
   5.013,    0.009,    5.013,   -0.005
   5.030,    0.012,    5.030,   -0.005
   5.046,    0.009,    5.046,   -0.005
   5.063,    0.011,    5.063,   -0.004
   5.079,    0.011,    5.079,   -0.005
   5.095,    0.008,    5.095,   -0.005
   5.112,    0.008,    5.112,   -0.005
   5.128,    0.011,    5.128,   -0.005
   5.145,    0.010,    5.145,   -0.005
   5.161,    0.009,    5.161,   -0.005
   5.177,    0.010,    5.177,   -0.005
   5.194,    0.013,    5.194,   -0.005
   5.210,    0.010,    5.210,   -0.005
   5.226,    0.010,    5.226,   -0.005
   5.243,    0.009,    5.243,   -0.005
   5.259,    0.004,    5.259,   -0.007
   5.276,    0.010,    5.276,   -0.006
   5.292,    0.011,    5.292,   -0.005
   5.308,    0.011,    5.308,   -0.005
   5.325,    0.009,    5.325,   -0.005
   5.341,    0.009,    5.341,   -0.006
   5.358,    0.008,    5.358,   -0.006
   5.374,    0.011,    5.374,   -0.005
   5.390,    0.012,    5.390,   -0.004
   5.407,    0.014,    5.407,   -0.004
   5.423,    0.011,    5.423,   -0.005
   5.439,    0.010,    5.439,   -0.005
   5.456,    0.009,    5.456,   -0.006
   5.472,    0.008,    5.472,   -0.006
   5.489,    0.014,    5.489,   -0.004
   5.505,    0.011,    5.505,   -0.004
   5.521,    0.007,    5.521,   -0.006
   5.538,    0.009,    5.538,   -0.005
   5.554,    0.012,    5.554,   -0.005
   5.571,    0.009,    5.571,   -0.006
   5.587,    0.010,    5.587,   -0.005
   5.603,    0.009,    5.603,   -0.006
   5.620,    0.007,    5.620,   -0.006
   5.636,    0.014,    5.636,   -0.003
   5.652,    0.008,    5.652,   -0.006
   5.669,    0.007,    5.669,   -0.006
   5.685,    0.010,    5.685,   -0.005
   5.702,    0.008,    5.702,   -0.006
